algorithm,keygen_time_ms,encap_time_ms,decap_time_ms,ciphertext_length,shared_secret_length,overhead_bytes,total_time_ms,correctness,type,text_size_kb,text_length_bytes,run_id,timestamp,security_level_bits,security_level
BIKE-L1,8.220911026000977,0.476837158203125,6.126165390014648,1573,32,1541,14.82391357421875,True,KEM,0.5,512,1,2025-04-07T09:04:19.790636,128,1
BIKE-L3,21.829843521118164,1.2569427490234375,16.112327575683594,3115,32,3083,39.199113845825195,True,KEM,0.5,512,1,2025-04-07T09:04:19.829883,192,2
BIKE-L5,46.7677116394043,2.5243759155273438,37.10174560546875,5154,32,5122,86.39383316040039,True,KEM,0.5,512,1,2025-04-07T09:04:19.916316,256,3
Classic-McEliece-348864,93.24097633361816,0.10704994201660156,17.526865005493164,96,32,64,110.87489128112793,True,KEM,0.5,512,1,2025-04-07T09:04:20.027250,128,1
Classic-McEliece-348864f,29.18100357055664,0.037670135498046875,16.361236572265625,96,32,64,45.57991027832031,True,KEM,0.5,512,1,2025-04-07T09:04:20.072888,128,1
Classic-McEliece-460896,223.3719825744629,0.06079673767089844,32.27806091308594,156,32,124,255.71084022521973,True,KEM,0.5,512,1,2025-04-07T09:04:20.328615,192,2
Classic-McEliece-460896f,83.15086364746094,0.05698204040527344,32.37199783325195,156,32,124,115.57984352111816,True,KEM,0.5,512,1,2025-04-07T09:04:20.444630,192,2
Classic-McEliece-6688128,473.8759994506836,0.11515617370605469,61.959028244018555,208,32,176,535.9501838684082,True,KEM,0.5,512,1,2025-04-07T09:04:20.980610,256,3
Classic-McEliece-6688128f,132.00926780700684,0.1819133758544922,62.03603744506836,208,32,176,194.2272186279297,True,KEM,0.5,512,1,2025-04-07T09:04:21.174862,256,3
Classic-McEliece-6960119,531.9502353668213,0.6740093231201172,60.09197235107422,194,32,162,592.7162170410156,True,KEM,0.5,512,1,2025-04-07T09:04:21.767588,256,3
Classic-McEliece-6960119f,128.56197357177734,0.6310939788818359,59.79514122009277,194,32,162,188.98820877075195,True,KEM,0.5,512,1,2025-04-07T09:04:21.956586,256,3
Classic-McEliece-8192128,694.4999694824219,0.10395050048828125,75.7448673248291,208,32,176,770.3487873077393,True,KEM,0.5,512,1,2025-04-07T09:04:22.726985,256,3
